CSDUID,CSD,Period,IndicatorSummaryDescription,AQHI,Health Risk,percent_of_hours
4819012,Grande Prairie,2011,Air Quality (percent high-quality hours),2,High Quality,43.491
4819012,Grande Prairie,2012,Air Quality (percent high-quality hours),2,High Quality,54.62200000000001
4819012,Grande Prairie,2013,Air Quality (percent high-quality hours),2,High Quality,51.422999999999995
4819012,Grande Prairie,2014,Air Quality (percent high-quality hours),2,High Quality,51.132
4819012,Grande Prairie,2015,Air Quality (percent high-quality hours),2,High Quality,59.287
4819012,Grande Prairie,2016,Air Quality (percent high-quality hours),2,High Quality,55.787
4819012,Grande Prairie,2017,Air Quality (percent high-quality hours),2,High Quality,56.162
4819012,Grande Prairie,2018,Air Quality (percent high-quality hours),2,High Quality,42.629
4819012,Grande Prairie,2019,Air Quality (percent high-quality hours),2,High Quality,49.784
4819012,Grande Prairie,2020,Air Quality (percent high-quality hours),2,High Quality,52.519000000000005
4819012,Grande Prairie,2021,Air Quality (percent high-quality hours),2,High Quality,55.486000000000004
4819012,Grande Prairie,2022,Air Quality (percent high-quality hours),2,High Quality,53.264
4811032,Brazeau County,2019,Air Quality (percent high-quality hours),2,High Quality,64.39200000000001
4811032,Brazeau County,2020,Air Quality (percent high-quality hours),2,High Quality,53.988
4811032,Brazeau County,2021,Air Quality (percent high-quality hours),2,High Quality,54.627
4811032,Brazeau County,2022,Air Quality (percent high-quality hours),2,High Quality,54.483000000000004
4811034,Parkland County,2011,Air Quality (percent high-quality hours),2,High Quality,58.663
4811034,Parkland County,2012,Air Quality (percent high-quality hours),2,High Quality,63.498
4811034,Parkland County,2013,Air Quality (percent high-quality hours),2,High Quality,64.848
4811034,Parkland County,2014,Air Quality (percent high-quality hours),2,High Quality,59.026
4811034,Parkland County,2015,Air Quality (percent high-quality hours),2,High Quality,66.38199999999999
4811034,Parkland County,2016,Air Quality (percent high-quality hours),2,High Quality,61.88
4811034,Parkland County,2017,Air Quality (percent high-quality hours),2,High Quality,64.67500000000001
4811034,Parkland County,2018,Air Quality (percent high-quality hours),2,High Quality,56.233
4811034,Parkland County,2019,Air Quality (percent high-quality hours),2,High Quality,58.92699999999999
4811034,Parkland County,2020,Air Quality (percent high-quality hours),2,High Quality,61.507
4811034,Parkland County,2021,Air Quality (percent high-quality hours),2,High Quality,67.334
4811034,Parkland County,2022,Air Quality (percent high-quality hours),2,High Quality,64.09700000000001
4811052,Strathcona County,2015,Air Quality (percent high-quality hours),2,High Quality,56.169999999999995
4811052,Strathcona County,2016,Air Quality (percent high-quality hours),2,High Quality,54.446000000000005
4811052,Strathcona County,2017,Air Quality (percent high-quality hours),2,High Quality,53.154
4811052,Strathcona County,2018,Air Quality (percent high-quality hours),2,High Quality,41.736000000000004
4811052,Strathcona County,2019,Air Quality (percent high-quality hours),2,High Quality,52.42099999999999
4811052,Strathcona County,2020,Air Quality (percent high-quality hours),2,High Quality,53.759
4811052,Strathcona County,2021,Air Quality (percent high-quality hours),2,High Quality,57.593
4811052,Strathcona County,2022,Air Quality (percent high-quality hours),2,High Quality,58.021
4811059,Sturgeon County,2016,Air Quality (percent high-quality hours),2,High Quality,58.479000000000006
4811059,Sturgeon County,2017,Air Quality (percent high-quality hours),2,High Quality,57.731
4811059,Sturgeon County,2018,Air Quality (percent high-quality hours),2,High Quality,43.053000000000004
4811059,Sturgeon County,2019,Air Quality (percent high-quality hours),2,High Quality,51.308
4811059,Sturgeon County,2020,Air Quality (percent high-quality hours),2,High Quality,54.833
4811059,Sturgeon County,2021,Air Quality (percent high-quality hours),2,High Quality,62.895
4811059,Sturgeon County,2022,Air Quality (percent high-quality hours),2,High Quality,58.633
4811062,St. Albert,2016,Air Quality (percent high-quality hours),2,High Quality,53.859
4811062,St. Albert,2017,Air Quality (percent high-quality hours),2,High Quality,53.604
4811062,St. Albert,2018,Air Quality (percent high-quality hours),2,High Quality,37.656
4811062,St. Albert,2019,Air Quality (percent high-quality hours),2,High Quality,48.428
4811062,St. Albert,2020,Air Quality (percent high-quality hours),2,High Quality,50.659
4811062,St. Albert,2021,Air Quality (percent high-quality hours),2,High Quality,46.703
4811062,St. Albert,2022,Air Quality (percent high-quality hours),2,High Quality,50.124
4815023,Canmore,2019,Air Quality (percent high-quality hours),2,High Quality,86.115
4815023,Canmore,2020,Air Quality (percent high-quality hours),2,High Quality,64.33
4815023,Canmore,2021,Air Quality (percent high-quality hours),2,High Quality,52.052
4819006,Grande Prairie County No. 1,2011,Air Quality (percent high-quality hours),2,High Quality,43.491
4819006,Grande Prairie County No. 1,2012,Air Quality (percent high-quality hours),2,High Quality,54.62200000000001
4819006,Grande Prairie County No. 1,2013,Air Quality (percent high-quality hours),2,High Quality,51.422999999999995
4819006,Grande Prairie County No. 1,2014,Air Quality (percent high-quality hours),2,High Quality,50.492000000000004
4819006,Grande Prairie County No. 1,2015,Air Quality (percent high-quality hours),2,High Quality,59.069
4819006,Grande Prairie County No. 1,2016,Air Quality (percent high-quality hours),2,High Quality,55.787
4819006,Grande Prairie County No. 1,2017,Air Quality (percent high-quality hours),2,High Quality,56.162
4819006,Grande Prairie County No. 1,2018,Air Quality (percent high-quality hours),2,High Quality,46.593
4819006,Grande Prairie County No. 1,2019,Air Quality (percent high-quality hours),2,High Quality,53.626
4819006,Grande Prairie County No. 1,2020,Air Quality (percent high-quality hours),2,High Quality,55.852999999999994
4819006,Grande Prairie County No. 1,2021,Air Quality (percent high-quality hours),2,High Quality,60.873999999999995
4819006,Grande Prairie County No. 1,2022,Air Quality (percent high-quality hours),2,High Quality,60.089000000000006
4812002,Cold Lake,2011,Air Quality (percent high-quality hours),2,High Quality,55.669000000000004
4812002,Cold Lake,2012,Air Quality (percent high-quality hours),2,High Quality,63.532999999999994
4812002,Cold Lake,2013,Air Quality (percent high-quality hours),2,High Quality,50.33
4812002,Cold Lake,2014,Air Quality (percent high-quality hours),2,High Quality,59.504000000000005
4812002,Cold Lake,2015,Air Quality (percent high-quality hours),2,High Quality,57.365
4812002,Cold Lake,2016,Air Quality (percent high-quality hours),2,High Quality,51.227000000000004
4812002,Cold Lake,2017,Air Quality (percent high-quality hours),2,High Quality,67.605
4812002,Cold Lake,2018,Air Quality (percent high-quality hours),2,High Quality,59.973
4812002,Cold Lake,2019,Air Quality (percent high-quality hours),2,High Quality,56.072
4812002,Cold Lake,2020,Air Quality (percent high-quality hours),2,High Quality,62.332
4812002,Cold Lake,2021,Air Quality (percent high-quality hours),2,High Quality,62.966
4812002,Cold Lake,2022,Air Quality (percent high-quality hours),2,High Quality,61.771
4812004,Bonnyville No. 87,2016,Air Quality (percent high-quality hours),2,High Quality,59.34
4812004,Bonnyville No. 87,2017,Air Quality (percent high-quality hours),2,High Quality,70.966
4812004,Bonnyville No. 87,2018,Air Quality (percent high-quality hours),2,High Quality,73.863
4812004,Bonnyville No. 87,2019,Air Quality (percent high-quality hours),2,High Quality,65.384
4812004,Bonnyville No. 87,2020,Air Quality (percent high-quality hours),2,High Quality,63.93299999999999
4812004,Bonnyville No. 87,2021,Air Quality (percent high-quality hours),2,High Quality,65.964
4812004,Bonnyville No. 87,2022,Air Quality (percent high-quality hours),2,High Quality,66.269
4812014,St. Paul County No. 19,2011,Air Quality (percent high-quality hours),2,High Quality,57.56099999999999
4812014,St. Paul County No. 19,2012,Air Quality (percent high-quality hours),2,High Quality,64.17
4812014,St. Paul County No. 19,2013,Air Quality (percent high-quality hours),2,High Quality,55.642
4812014,St. Paul County No. 19,2014,Air Quality (percent high-quality hours),2,High Quality,62.681
4812014,St. Paul County No. 19,2015,Air Quality (percent high-quality hours),2,High Quality,57.321
4812014,St. Paul County No. 19,2016,Air Quality (percent high-quality hours),2,High Quality,64.897
4812014,St. Paul County No. 19,2017,Air Quality (percent high-quality hours),2,High Quality,69.148
4812014,St. Paul County No. 19,2018,Air Quality (percent high-quality hours),2,High Quality,58.940000000000005
4812014,St. Paul County No. 19,2019,Air Quality (percent high-quality hours),2,High Quality,65.008
4812014,St. Paul County No. 19,2020,Air Quality (percent high-quality hours),2,High Quality,63.76199999999999
4812014,St. Paul County No. 19,2021,Air Quality (percent high-quality hours),2,High Quality,66.3
4812014,St. Paul County No. 19,2022,Air Quality (percent high-quality hours),2,High Quality,67.662
4819071,Peace No. 135,2021,Air Quality (percent high-quality hours),2,High Quality,82.868
4819071,Peace No. 135,2022,Air Quality (percent high-quality hours),2,High Quality,70.528
4816037,Wood Buffalo,2011,Air Quality (percent high-quality hours),2,High Quality,56.459
4816037,Wood Buffalo,2012,Air Quality (percent high-quality hours),2,High Quality,59.251
4816037,Wood Buffalo,2013,Air Quality (percent high-quality hours),2,High Quality,57.238
4816037,Wood Buffalo,2014,Air Quality (percent high-quality hours),2,High Quality,58.687
4816037,Wood Buffalo,2015,Air Quality (percent high-quality hours),2,High Quality,62.419999999999995
4816037,Wood Buffalo,2016,Air Quality (percent high-quality hours),2,High Quality,62.676
4816037,Wood Buffalo,2017,Air Quality (percent high-quality hours),2,High Quality,65.29899999999999
4816037,Wood Buffalo,2018,Air Quality (percent high-quality hours),2,High Quality,59.160999999999994
4816037,Wood Buffalo,2019,Air Quality (percent high-quality hours),2,High Quality,61.344
4816037,Wood Buffalo,2020,Air Quality (percent high-quality hours),2,High Quality,65.155
4816037,Wood Buffalo,2021,Air Quality (percent high-quality hours),2,High Quality,64.488
4816037,Wood Buffalo,2022,Air Quality (percent high-quality hours),2,High Quality,68.732
4810066,Bruderheim,2011,Air Quality (percent high-quality hours),2,High Quality,57.401
4810066,Bruderheim,2012,Air Quality (percent high-quality hours),2,High Quality,66.715
4810066,Bruderheim,2013,Air Quality (percent high-quality hours),2,High Quality,48.198
4810066,Bruderheim,2014,Air Quality (percent high-quality hours),2,High Quality,57.348
4810066,Bruderheim,2015,Air Quality (percent high-quality hours),2,High Quality,56.16
4810066,Bruderheim,2016,Air Quality (percent high-quality hours),2,High Quality,50.592999999999996
4810066,Bruderheim,2017,Air Quality (percent high-quality hours),2,High Quality,62.468999999999994
4810066,Bruderheim,2018,Air Quality (percent high-quality hours),2,High Quality,51.76500000000001
4810066,Bruderheim,2019,Air Quality (percent high-quality hours),2,High Quality,55.972
4810066,Bruderheim,2020,Air Quality (percent high-quality hours),2,High Quality,52.372
4810066,Bruderheim,2021,Air Quality (percent high-quality hours),2,High Quality,52.32599999999999
4810066,Bruderheim,2022,Air Quality (percent high-quality hours),2,High Quality,55.313
4810068,Improvement District No. 13 Elk Island,2011,Air Quality (percent high-quality hours),2,High Quality,53.846000000000004
4810068,Improvement District No. 13 Elk Island,2012,Air Quality (percent high-quality hours),2,High Quality,63.039
4810068,Improvement District No. 13 Elk Island,2013,Air Quality (percent high-quality hours),2,High Quality,57.54899999999999
4810068,Improvement District No. 13 Elk Island,2014,Air Quality (percent high-quality hours),2,High Quality,54.422000000000004
4810068,Improvement District No. 13 Elk Island,2015,Air Quality (percent high-quality hours),2,High Quality,59.108000000000004
4810068,Improvement District No. 13 Elk Island,2016,Air Quality (percent high-quality hours),2,High Quality,55.67100000000001
4810068,Improvement District No. 13 Elk Island,2017,Air Quality (percent high-quality hours),2,High Quality,59.681
4810068,Improvement District No. 13 Elk Island,2018,Air Quality (percent high-quality hours),2,High Quality,51.068000000000005
4810068,Improvement District No. 13 Elk Island,2019,Air Quality (percent high-quality hours),2,High Quality,54.474000000000004
4810068,Improvement District No. 13 Elk Island,2020,Air Quality (percent high-quality hours),2,High Quality,56.479
4810068,Improvement District No. 13 Elk Island,2021,Air Quality (percent high-quality hours),2,High Quality,66.16499999999999
4810068,Improvement District No. 13 Elk Island,2022,Air Quality (percent high-quality hours),2,High Quality,68.594
4811012,Leduc County,2011,Air Quality (percent high-quality hours),2,High Quality,54.373000000000005
4811012,Leduc County,2012,Air Quality (percent high-quality hours),2,High Quality,53.805
4811012,Leduc County,2013,Air Quality (percent high-quality hours),2,High Quality,59.011
4811012,Leduc County,2014,Air Quality (percent high-quality hours),2,High Quality,53.369
4811012,Leduc County,2015,Air Quality (percent high-quality hours),2,High Quality,47.05
4811012,Leduc County,2016,Air Quality (percent high-quality hours),2,High Quality,34.47
4811012,Leduc County,2017,Air Quality (percent high-quality hours),2,High Quality,46.437
4811012,Leduc County,2018,Air Quality (percent high-quality hours),2,High Quality,56.32
4811012,Leduc County,2019,Air Quality (percent high-quality hours),2,High Quality,68.605
4811012,Leduc County,2020,Air Quality (percent high-quality hours),2,High Quality,63.554
4811012,Leduc County,2021,Air Quality (percent high-quality hours),2,High Quality,69.923
4819009,Beaverlodge,2011,Air Quality (percent high-quality hours),2,High Quality,57.401
4819009,Beaverlodge,2012,Air Quality (percent high-quality hours),2,High Quality,67.452
4819009,Beaverlodge,2013,Air Quality (percent high-quality hours),2,High Quality,54.409
4819009,Beaverlodge,2014,Air Quality (percent high-quality hours),2,High Quality,46.451
4819009,Beaverlodge,2015,Air Quality (percent high-quality hours),2,High Quality,69.595
4819009,Beaverlodge,2016,Air Quality (percent high-quality hours),2,High Quality,62.834
4819009,Beaverlodge,2017,Air Quality (percent high-quality hours),2,High Quality,67.849
4819009,Beaverlodge,2018,Air Quality (percent high-quality hours),2,High Quality,58.168
4819009,Beaverlodge,2019,Air Quality (percent high-quality hours),2,High Quality,60.631
4819009,Beaverlodge,2020,Air Quality (percent high-quality hours),2,High Quality,61.077999999999996
4819009,Beaverlodge,2021,Air Quality (percent high-quality hours),2,High Quality,71.545
4819009,Beaverlodge,2022,Air Quality (percent high-quality hours),2,High Quality,68.98100000000001
4810058,Lamont County,2011,Air Quality (percent high-quality hours),2,High Quality,53.954
4810058,Lamont County,2012,Air Quality (percent high-quality hours),2,High Quality,66.658
4810058,Lamont County,2013,Air Quality (percent high-quality hours),2,High Quality,54.437000000000005
4810058,Lamont County,2014,Air Quality (percent high-quality hours),2,High Quality,61.795
4810058,Lamont County,2015,Air Quality (percent high-quality hours),2,High Quality,50.208
4810058,Lamont County,2016,Air Quality (percent high-quality hours),2,High Quality,59.111000000000004
4810058,Lamont County,2017,Air Quality (percent high-quality hours),2,High Quality,64.094
4810058,Lamont County,2018,Air Quality (percent high-quality hours),2,High Quality,48.276
4810058,Lamont County,2019,Air Quality (percent high-quality hours),2,High Quality,60.236999999999995
4810058,Lamont County,2020,Air Quality (percent high-quality hours),2,High Quality,62.39
4810058,Lamont County,2021,Air Quality (percent high-quality hours),2,High Quality,66.652
4810058,Lamont County,2022,Air Quality (percent high-quality hours),2,High Quality,61.739
4814003,Yellowhead County,2011,Air Quality (percent high-quality hours),2,High Quality,49.848
4814003,Yellowhead County,2012,Air Quality (percent high-quality hours),2,High Quality,53.63099999999999
4814003,Yellowhead County,2013,Air Quality (percent high-quality hours),2,High Quality,59.569
4814003,Yellowhead County,2014,Air Quality (percent high-quality hours),2,High Quality,50.253
4814003,Yellowhead County,2015,Air Quality (percent high-quality hours),2,High Quality,53.283
4814003,Yellowhead County,2016,Air Quality (percent high-quality hours),2,High Quality,53.049
4814003,Yellowhead County,2017,Air Quality (percent high-quality hours),2,High Quality,55.565
4814003,Yellowhead County,2018,Air Quality (percent high-quality hours),2,High Quality,50.294000000000004
4814003,Yellowhead County,2019,Air Quality (percent high-quality hours),2,High Quality,55.074999999999996
4814003,Yellowhead County,2020,Air Quality (percent high-quality hours),2,High Quality,57.191
4814003,Yellowhead County,2021,Air Quality (percent high-quality hours),2,High Quality,62.131
4814003,Yellowhead County,2022,Air Quality (percent high-quality hours),2,High Quality,63.641999999999996
4808011,Red Deer,2011,Air Quality (percent high-quality hours),3,High Quality,36.754999999999995
4808011,Red Deer,2012,Air Quality (percent high-quality hours),3,High Quality,34.147
4808011,Red Deer,2013,Air Quality (percent high-quality hours),3,High Quality,29.337999999999997
4808011,Red Deer,2014,Air Quality (percent high-quality hours),3,High Quality,23.526
4808011,Red Deer,2015,Air Quality (percent high-quality hours),3,High Quality,27.506000000000004
4808011,Red Deer,2016,Air Quality (percent high-quality hours),3,High Quality,14.938
4808011,Red Deer,2017,Air Quality (percent high-quality hours),3,High Quality,26.26
4808011,Red Deer,2018,Air Quality (percent high-quality hours),3,High Quality,36.626
4808011,Red Deer,2019,Air Quality (percent high-quality hours),3,High Quality,28.378999999999998
4808011,Red Deer,2020,Air Quality (percent high-quality hours),3,High Quality,30.032999999999998
4808011,Red Deer,2021,Air Quality (percent high-quality hours),3,High Quality,30.695
4808011,Red Deer,2022,Air Quality (percent high-quality hours),3,High Quality,34.02
4811056,Fort Saskatchewan,2011,Air Quality (percent high-quality hours),3,High Quality,31.506
4811056,Fort Saskatchewan,2012,Air Quality (percent high-quality hours),3,High Quality,21.664
4811056,Fort Saskatchewan,2013,Air Quality (percent high-quality hours),3,High Quality,23.586
4811056,Fort Saskatchewan,2014,Air Quality (percent high-quality hours),3,High Quality,27.561999999999998
4811056,Fort Saskatchewan,2015,Air Quality (percent high-quality hours),3,High Quality,27.423
4811056,Fort Saskatchewan,2016,Air Quality (percent high-quality hours),3,High Quality,21.643
4811056,Fort Saskatchewan,2017,Air Quality (percent high-quality hours),3,High Quality,30.113
4811056,Fort Saskatchewan,2018,Air Quality (percent high-quality hours),3,High Quality,35.776
4811056,Fort Saskatchewan,2019,Air Quality (percent high-quality hours),3,High Quality,25.091
4811056,Fort Saskatchewan,2020,Air Quality (percent high-quality hours),3,High Quality,23.980999999999998
4811056,Fort Saskatchewan,2021,Air Quality (percent high-quality hours),3,High Quality,33.184000000000005
4811056,Fort Saskatchewan,2022,Air Quality (percent high-quality hours),3,High Quality,36.099
4811061,Edmonton,2011,Air Quality (percent high-quality hours),3,High Quality,43.156
4811061,Edmonton,2012,Air Quality (percent high-quality hours),3,High Quality,47.748000000000005
4811061,Edmonton,2013,Air Quality (percent high-quality hours),3,High Quality,40.666999999999994
4811061,Edmonton,2014,Air Quality (percent high-quality hours),3,High Quality,42.63
4811061,Edmonton,2015,Air Quality (percent high-quality hours),3,High Quality,42.596000000000004
4811061,Edmonton,2016,Air Quality (percent high-quality hours),3,High Quality,34.476
4811061,Edmonton,2017,Air Quality (percent high-quality hours),3,High Quality,43.829
4811061,Edmonton,2018,Air Quality (percent high-quality hours),3,High Quality,42.779
4811061,Edmonton,2019,Air Quality (percent high-quality hours),3,High Quality,38.292
4811061,Edmonton,2020,Air Quality (percent high-quality hours),3,High Quality,33.736
4811061,Edmonton,2021,Air Quality (percent high-quality hours),3,High Quality,42.608000000000004
4811061,Edmonton,2022,Air Quality (percent high-quality hours),3,High Quality,43.841
4802012,Lethbridge,2011,Air Quality (percent high-quality hours),3,High Quality,41.839
4802012,Lethbridge,2012,Air Quality (percent high-quality hours),3,High Quality,36.022999999999996
4802012,Lethbridge,2013,Air Quality (percent high-quality hours),3,High Quality,36.693999999999996
4802012,Lethbridge,2014,Air Quality (percent high-quality hours),3,High Quality,36.784
4802012,Lethbridge,2015,Air Quality (percent high-quality hours),3,High Quality,36.754
4802012,Lethbridge,2016,Air Quality (percent high-quality hours),3,High Quality,22.726
4802012,Lethbridge,2017,Air Quality (percent high-quality hours),3,High Quality,31.979000000000003
4802012,Lethbridge,2018,Air Quality (percent high-quality hours),3,High Quality,32.961
4802012,Lethbridge,2019,Air Quality (percent high-quality hours),3,High Quality,24.578
4802012,Lethbridge,2020,Air Quality (percent high-quality hours),3,High Quality,23.54
4802012,Lethbridge,2021,Air Quality (percent high-quality hours),3,High Quality,25.346999999999998
4802012,Lethbridge,2022,Air Quality (percent high-quality hours),3,High Quality,26.076
4802031,Newell County,2021,Air Quality (percent high-quality hours),3,High Quality,15.119
4802031,Newell County,2022,Air Quality (percent high-quality hours),3,High Quality,17.315
4809010,Caroline,2011,Air Quality (percent high-quality hours),3,High Quality,21.172
4809010,Caroline,2012,Air Quality (percent high-quality hours),3,High Quality,18.875
4809010,Caroline,2013,Air Quality (percent high-quality hours),3,High Quality,20.683
4809010,Caroline,2014,Air Quality (percent high-quality hours),3,High Quality,20.874000000000002
4809010,Caroline,2015,Air Quality (percent high-quality hours),3,High Quality,16.518
4809010,Caroline,2016,Air Quality (percent high-quality hours),3,High Quality,13.367
4809010,Caroline,2017,Air Quality (percent high-quality hours),3,High Quality,22.559
4809010,Caroline,2018,Air Quality (percent high-quality hours),3,High Quality,25.951
4809010,Caroline,2019,Air Quality (percent high-quality hours),3,High Quality,15.622
4809010,Caroline,2020,Air Quality (percent high-quality hours),3,High Quality,13.012
4809010,Caroline,2021,Air Quality (percent high-quality hours),3,High Quality,14.81
4809010,Caroline,2022,Air Quality (percent high-quality hours),3,High Quality,15.552
4806021,Airdrie,2017,Air Quality (percent high-quality hours),3,High Quality,26.095000000000002
4806021,Airdrie,2018,Air Quality (percent high-quality hours),3,High Quality,31.812
4806021,Airdrie,2019,Air Quality (percent high-quality hours),3,High Quality,22.121
4806021,Airdrie,2020,Air Quality (percent high-quality hours),3,High Quality,22.441
4806021,Airdrie,2021,Air Quality (percent high-quality hours),3,High Quality,23.828
4806021,Airdrie,2022,Air Quality (percent high-quality hours),3,High Quality,25.012
4801006,Medicine Hat,2011,Air Quality (percent high-quality hours),3,High Quality,47.452
4801006,Medicine Hat,2012,Air Quality (percent high-quality hours),3,High Quality,39.061
4801006,Medicine Hat,2013,Air Quality (percent high-quality hours),3,High Quality,47.111
4801006,Medicine Hat,2014,Air Quality (percent high-quality hours),3,High Quality,25.243
4801006,Medicine Hat,2015,Air Quality (percent high-quality hours),3,High Quality,22.354
4801006,Medicine Hat,2016,Air Quality (percent high-quality hours),3,High Quality,17.633
4801006,Medicine Hat,2017,Air Quality (percent high-quality hours),3,High Quality,32.908
4801006,Medicine Hat,2018,Air Quality (percent high-quality hours),3,High Quality,33.504
4801006,Medicine Hat,2019,Air Quality (percent high-quality hours),3,High Quality,31.102999999999998
4801006,Medicine Hat,2020,Air Quality (percent high-quality hours),3,High Quality,27.261000000000003
4801006,Medicine Hat,2021,Air Quality (percent high-quality hours),3,High Quality,26.458
4801006,Medicine Hat,2022,Air Quality (percent high-quality hours),3,High Quality,29.23
4802021,"Taber, M.D.",2021,Air Quality (percent high-quality hours),3,High Quality,23.063
4802021,"Taber, M.D.",2022,Air Quality (percent high-quality hours),3,High Quality,22.241
4806001,Foothills County,2019,Air Quality (percent high-quality hours),3,High Quality,16.797
4806001,Foothills County,2021,Air Quality (percent high-quality hours),3,High Quality,19.16
4806001,Foothills County,2022,Air Quality (percent high-quality hours),3,High Quality,57.357
4806016,Calgary,2011,Air Quality (percent high-quality hours),3,High Quality,50.245
4806016,Calgary,2012,Air Quality (percent high-quality hours),3,High Quality,50.268
4806016,Calgary,2013,Air Quality (percent high-quality hours),3,High Quality,48.268
4806016,Calgary,2014,Air Quality (percent high-quality hours),3,High Quality,36.614000000000004
4806016,Calgary,2015,Air Quality (percent high-quality hours),3,High Quality,33.109
4806016,Calgary,2016,Air Quality (percent high-quality hours),3,High Quality,35.204
4806016,Calgary,2017,Air Quality (percent high-quality hours),3,High Quality,51.707
4806016,Calgary,2018,Air Quality (percent high-quality hours),3,High Quality,43.521
4806016,Calgary,2019,Air Quality (percent high-quality hours),3,High Quality,43.373
4806016,Calgary,2020,Air Quality (percent high-quality hours),3,High Quality,32.594
4806016,Calgary,2021,Air Quality (percent high-quality hours),3,High Quality,44.297
4806016,Calgary,2022,Air Quality (percent high-quality hours),3,High Quality,52.083999999999996
4817026,Northern Sunrise County,2019,Air Quality (percent high-quality hours),3,High Quality,0.28400000000000003
4817026,Northern Sunrise County,2020,Air Quality (percent high-quality hours),3,High Quality,4.287
4817026,Northern Sunrise County,2021,Air Quality (percent high-quality hours),3,High Quality,7.585999999999999
4819054,Spirit River No. 133,2016,Air Quality (percent high-quality hours),3,High Quality,5.524
4819054,Spirit River No. 133,2017,Air Quality (percent high-quality hours),3,High Quality,5.892
4819054,Spirit River No. 133,2018,Air Quality (percent high-quality hours),3,High Quality,18.889
4819012,Grande Prairie,2011,Air Quality (percent high-quality hours),3,High Quality,34.991
4819012,Grande Prairie,2012,Air Quality (percent high-quality hours),3,High Quality,30.592999999999996
4819012,Grande Prairie,2013,Air Quality (percent high-quality hours),3,High Quality,30.434
4819012,Grande Prairie,2014,Air Quality (percent high-quality hours),3,High Quality,27.983000000000004
4819012,Grande Prairie,2015,Air Quality (percent high-quality hours),3,High Quality,24.256
4819012,Grande Prairie,2016,Air Quality (percent high-quality hours),3,High Quality,20.269000000000002
4819012,Grande Prairie,2017,Air Quality (percent high-quality hours),3,High Quality,29.329
4819012,Grande Prairie,2018,Air Quality (percent high-quality hours),3,High Quality,30.923000000000002
4819012,Grande Prairie,2019,Air Quality (percent high-quality hours),3,High Quality,24.583
4819012,Grande Prairie,2020,Air Quality (percent high-quality hours),3,High Quality,23.965
4819012,Grande Prairie,2021,Air Quality (percent high-quality hours),3,High Quality,28.109
4819012,Grande Prairie,2022,Air Quality (percent high-quality hours),3,High Quality,29.313
4811032,Brazeau County,2019,Air Quality (percent high-quality hours),3,High Quality,15.573
4811032,Brazeau County,2020,Air Quality (percent high-quality hours),3,High Quality,31.556
4811032,Brazeau County,2021,Air Quality (percent high-quality hours),3,High Quality,34.549
4811032,Brazeau County,2022,Air Quality (percent high-quality hours),3,High Quality,37.712
4811034,Parkland County,2011,Air Quality (percent high-quality hours),3,High Quality,22.125
4811034,Parkland County,2012,Air Quality (percent high-quality hours),3,High Quality,17.766000000000002
4811034,Parkland County,2013,Air Quality (percent high-quality hours),3,High Quality,21.3
4811034,Parkland County,2014,Air Quality (percent high-quality hours),3,High Quality,21.963
4811034,Parkland County,2015,Air Quality (percent high-quality hours),3,High Quality,15.995000000000001
4811034,Parkland County,2016,Air Quality (percent high-quality hours),3,High Quality,11.128
4811034,Parkland County,2017,Air Quality (percent high-quality hours),3,High Quality,15.774
4811034,Parkland County,2018,Air Quality (percent high-quality hours),3,High Quality,21.65
4811034,Parkland County,2019,Air Quality (percent high-quality hours),3,High Quality,16.608999999999998
4811034,Parkland County,2020,Air Quality (percent high-quality hours),3,High Quality,14.112
4811034,Parkland County,2021,Air Quality (percent high-quality hours),3,High Quality,16.764000000000003
4811034,Parkland County,2022,Air Quality (percent high-quality hours),3,High Quality,20.256
4811052,Strathcona County,2015,Air Quality (percent high-quality hours),3,High Quality,27.223000000000003
4811052,Strathcona County,2016,Air Quality (percent high-quality hours),3,High Quality,25.732
4811052,Strathcona County,2017,Air Quality (percent high-quality hours),3,High Quality,35.089
4811052,Strathcona County,2018,Air Quality (percent high-quality hours),3,High Quality,37.977
4811052,Strathcona County,2019,Air Quality (percent high-quality hours),3,High Quality,30.818
4811052,Strathcona County,2020,Air Quality (percent high-quality hours),3,High Quality,31.294
4811052,Strathcona County,2021,Air Quality (percent high-quality hours),3,High Quality,32.656
4811052,Strathcona County,2022,Air Quality (percent high-quality hours),3,High Quality,32.188
4811059,Sturgeon County,2016,Air Quality (percent high-quality hours),3,High Quality,15.468000000000002
4811059,Sturgeon County,2017,Air Quality (percent high-quality hours),3,High Quality,26.533
4811059,Sturgeon County,2018,Air Quality (percent high-quality hours),3,High Quality,31.918999999999997
4811059,Sturgeon County,2019,Air Quality (percent high-quality hours),3,High Quality,25.887999999999998
4811059,Sturgeon County,2020,Air Quality (percent high-quality hours),3,High Quality,18.593
4811059,Sturgeon County,2021,Air Quality (percent high-quality hours),3,High Quality,23.339
4811059,Sturgeon County,2022,Air Quality (percent high-quality hours),3,High Quality,25.852999999999998
4811062,St. Albert,2016,Air Quality (percent high-quality hours),3,High Quality,21.57
4811062,St. Albert,2017,Air Quality (percent high-quality hours),3,High Quality,29.591
4811062,St. Albert,2018,Air Quality (percent high-quality hours),3,High Quality,36.797999999999995
4811062,St. Albert,2019,Air Quality (percent high-quality hours),3,High Quality,30.163
4811062,St. Albert,2020,Air Quality (percent high-quality hours),3,High Quality,26.991
